ind_Latn - 29.15 ± 9.31 (median: 28.0 min: 8, max: 72)
zsm_Latn - 30.13 ± 9.70 (median: 29.0 min: 10, max: 69)
eng_Latn - 30.99 ± 9.49 (median: 30.0 min: 9, max: 80)
jpn_Jpan - 31.39 ± 10.52 (median: 30.0 min: 8, max: 78)
jav_Latn - 31.94 ± 10.24 (median: 31.0 min: 10, max: 79)
kor_Hang - 32.05 ± 10.97 (median: 31.0 min: 7, max: 85)
sun_Latn - 32.47 ± 10.50 (median: 31.0 min: 11, max: 86)
yue_Hant - 32.62 ± 10.92 (median: 31.0 min: 9, max: 86)
bjn_Latn - 33.47 ± 10.75 (median: 32.0 min: 11, max: 83)
ban_Latn - 33.61 ± 10.73 (median: 33.0 min: 10, max: 83)
zho_Hant - 33.63 ± 11.49 (median: 32.0 min: 8, max: 96)
nob_Latn - 34.06 ± 10.88 (median: 33.0 min: 9, max: 90)
prs_Arab - 34.19 ± 11.44 (median: 33.0 min: 9, max: 89)
dan_Latn - 34.25 ± 10.85 (median: 33.0 min: 10, max: 83)
hat_Latn - 34.29 ± 10.98 (median: 33.0 min: 8, max: 96)
lin_Latn - 34.54 ± 11.53 (median: 33.0 min: 10, max: 85)
pag_Latn - 34.70 ± 11.91 (median: 33.0 min: 9, max: 85)
zho_Hans - 34.78 ± 12.59 (median: 33.0 min: 8, max: 91)
swh_Latn - 34.85 ± 11.31 (median: 33.0 min: 9, max: 84)
swe_Latn - 34.85 ± 11.12 (median: 33.0 min: 9, max: 84)
tur_Latn - 34.92 ± 11.36 (median: 33.0 min: 9, max: 82)
pes_Arab - 35.11 ± 11.28 (median: 34.0 min: 11, max: 95)
min_Latn - 35.16 ± 11.14 (median: 34.0 min: 10, max: 83)
nya_Latn - 35.49 ± 11.71 (median: 34.0 min: 10, max: 83)
glg_Latn - 35.54 ± 11.47 (median: 34.0 min: 9, max: 85)
est_Latn - 35.67 ± 11.82 (median: 34.0 min: 7, max: 90)
nno_Latn - 35.73 ± 11.48 (median: 34.0 min: 11, max: 105)
ast_Latn - 35.89 ± 11.55 (median: 34.0 min: 11, max: 88)
